24, 1, 1 
24, 3, 2 
48, 5, 3 
0, 5, 4 
96, 7, 5 
48, 9, 6
48, 9, 7
8, 11, 8
96, 13, 9
48, 15, 10
192, 15, 11
48, 17, 12
96, 19, 13
48, 19, 14
288, 21, 15
12, 23, 16
48, 25, 17
96, 25, 18
192, 27, 19
48, 29, 20
192, 29, 21
96, 31, 22
336, 33, 23
0, 33, 24
192, 35, 25
192, 37, 26
192, 39, 27
96, 39, 28
384, 41, 29
96, 43, 30
192, 43, 31
32, 45, 32
384, 47, 33
96, 49, 34
288, 49, 35
96, 51, 36
288, 53, 37
96, 53, 38
576, 55, 39
48, 57, 40
96, 57, 41
288, 59, 42
432, 61, 43
96, 63, 44
288, 63, 45
192, 65, 46
384, 67, 47
576, 69, 49
288, 71, 50
288, 73, 51
96, 73, 52
672, 75, 53
192, 77, 54
480, 77, 55
48, 79, 56
672, 81, 57
48, 83, 58
576, 83, 59
192, 85, 60
480, 87, 61
288, 87, 62
528, 89, 63
96, 91, 64
192, 91, 65
384, 93, 66
576, 95, 67
40, 97, 68
560, 97, 69
384, 99, 70
384, 101, 71
576, 103, 73
288, 105, 74
384, 107, 75
96, 107, 76
864, 109, 77
384, 111, 78
384, 111, 79
48, 113, 80
768, 115, 81
96, 115, 82
